ID,Summary,Parent Interest ID,Registered,Published,Updated_1,Category,MNIS ID,Member,VisitLocations_Country_1,VisitLocations_Destination_1,Purpose,StartDate,EndDate,Appg,Donors_Name_1,Donors_IsPrivateIndividual_1,Donors_PublicAddress_1,Donors_PaymentType_1,Donors_PaymentDescription_1,Donors_Value_1,Donors_IsSoleBeneficiary_1,Link,Donors_Name_2,Donors_IsPrivateIndividual_2,Donors_PublicAddress_2,Donors_PaymentType_2,Donors_PaymentDescription_2,Donors_Value_2,Donors_IsSoleBeneficiary_2,Donors_Name_3,Donors_IsPrivateIndividual_3,Donors_PublicAddress_3,Donors_PaymentType_3,Donors_PaymentDescription_3,Donors_Value_3,Donors_IsSoleBeneficiary_3,VisitLocations_Country_2,VisitLocations_Destination_2,Donors_Name_4,Donors_IsPrivateIndividual_4,Donors_PublicAddress_4,Donors_PaymentType_4,Donors_PaymentDescription_4,Donors_Value_4,Donors_IsSoleBeneficiary_4,Donors_Name_5,Donors_IsPrivateIndividual_5,Donors_PublicAddress_5,Donors_PaymentType_5,Donors_PaymentDescription_5,Donors_Value_5,Donors_IsSoleBeneficiary_5,Updated_2
1248,International visit to United States between 02 October 2023 and 08 October 2023,,2023-10-16,2023-12-17,,Visits outside the UK,474,Mr Nigel Evans,United States,"Tallahassee, Florida","To talk to students, meet with staff and tour the university and capitol building.",2023-10-02,2023-10-08,,Florida State University,False,"600 W College Ave, Tallahassee, FL 32306, United States",In kind,"Flights, accommodation, ground transport and meals",9756.00,True,https://interests-api.parliament.uk/api/v1/Interests/1248,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1251,International visit between 26 May 2023 and 31 May 2023,,2023-06-29,2023-12-17,,Visits outside the UK,4823,John Finucane,Canada,Montreal,"To brief the Irish Diaspora, academics and labour leaders on political developments in Ireland and to speak at the annual March to the Black Rock in Montreal.",2023-05-26,2023-05-31,,Friends of Sinn Féin Canada,False,"466 Dupont Street, Toronto, Canada",In kind,"Flights (£807.36), accommodation and subsistence (£1,041.93)",1849.29,True,https://interests-api.parliament.uk/api/v1/Interests/1251,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1460,International visit between 14 September 2023 and 16 September 2023,,2023-10-09,2023-12-17,,Visits outside the UK,4253,Seema Malhotra,Germany,Neuhardenberg,To take part in the Konigswinter conference on German-British relations.,2023-09-14,2023-09-16,,Deutsch-Britische Gesellschaft e.V,False,"Pariser Platz 6, 10117 Berlin",In kind,"Accommodation, food and conference administration fee",441.93,True,https://interests-api.parliament.uk/api/v1/Interests/1460,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2127,International visit between 02 July 2023 and 07 July 2023,,2023-07-26,2023-12-17,,Visits outside the UK,4138,Rushanara Ali,Ukraine,,Parliamentary delegation to meet with Ukrainian MPs to discuss the support that is needed from the UK and see the support that Siobhan's Trust is providing.,2023-07-02,2023-07-07,,Siobhan's Trust,False,"Birkhill House, Cupar KY15 4QP",In kind,"Accommodation, transport and food",606.00,True,https://interests-api.parliament.uk/api/v1/Interests/2127,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2129,International visit to Czechia between 31 August 2023 and 02 September 2023,,2023-09-08,2023-12-17,,Visits outside the UK,4138,Rushanara Ali,Czechia,Prague,To participate in the Inter-Parliamentary Alliance on China Prague Summit.,2023-08-31,2023-09-02,,Inter-Parliamentary Alliance on China (supported by the National Democratic Institute and Open Society foundations),False,"27 Old Gloucester St, London WC1N 3AX",In kind,"Flights, accommodation, transport and food",901.00,True,https://interests-api.parliament.uk/api/v1/Interests/2129,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2159,International visit between 20 May 2023 and 24 May 2023,,2023-06-06,2023-12-17,,Visits outside the UK,4086,Alun Cairns,Qatar,Doha,"To participate at the Bloomberg Qatar Economic Forum 2023 and meet Qatari and international officials to discuss current affairs including regional conflict resolution, labour rights, and Qatar-UK bilateral relations.",2023-05-20,2023-05-24,,Media City Qatar,False,"Floor 17 & 18, Tornado Tower, Bldg. 17, Zone 60, Street 810, Corner Majlis Al Taawoon And, Al Funduq Street, Doha, Qata",In kind,"Flights, accommodation, internal travel and meals",6900.00,True,https://interests-api.parliament.uk/api/v1/Interests/2159,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2161,International visit between 27 September 2023 and 03 October 2023,,2023-10-30,2023-12-17,,Visits outside the UK,4651,Dan Carden,United Arab Emirates,Abu Dhabi and Dubai,"As President of the Forum of Young Parliamentarians at the Inter Parliamentary Union, to attend Climate Future Week events, meet with members of the Federal National Council, and develop plans for the engagement of young parliamentarians at COP28 UAE.",2023-09-27,2023-10-03,,"United Arab Emirates, Federal National Council",False,"Abu Dhabi, P.O. Box 836, UAE",In kind,"Flights to and from the UAE, hotel accommodation, food and in-country transport (value is estimated)",6220.00,True,https://interests-api.parliament.uk/api/v1/Interests/2161,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1295,International visit to Greece between 15 September 2023 and 19 September 2023,,2023-09-25,2023-12-17,,Visits outside the UK,4048,Caroline Nokes,Greece,Thessaloniki,"Speaker at the Women on Top 6th Inclusivity Lounge, within the Thessaloniki International Fair.",2023-09-15,2023-09-19,,Women on Top,False,"Viktoros Ougko 15, Athina, 10437 Greece",In kind,"Flights (£628.07), accommodation (£317.94) and food (£21.72)",967.68,True,https://interests-api.parliament.uk/api/v1/Interests/1295,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3245,International visit to Qatar between 07 December 2023 and 12 December 2023,,2023-12-21,2023-12-17,,Visits outside the UK,4409,Naz Shah,Qatar,Doha,"To participate in the Doha Forum 2023 with a focus on geopolitics, the impact of AI, economic development, defence, cyber and food security; and climate change and sustainability.",2023-12-07,2023-12-12,,Doha Forum,False,"Ministry of Foreign Affairs, Almirqab Tower, West Bay, Doha, Qatar",In kind,"Flights, accommodation and food",7798.00,True,https://interests-api.parliament.uk/api/v1/Interests/3245,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1779,International visit to Kenya between 02 September 2023 and 03 September 2023,,2023-09-13,2023-12-17,,Visits outside the UK,4014,Lord Sharma,Kenya,Nairobi,"In connection with my role as Rockefeller Foundation Climate and Finance Fellow, meetings ahead of the Africa Climate Summit.",2023-09-02,2023-09-03,,Rockefeller Foundation,False,"420 Fifth Avenue, New York City, New York, U.S.",In kind,"Transport (flights, visa and taxis £9,522), accommodation and meals (£214)",9766.00,True,https://interests-api.parliament.uk/api/v1/Interests/1779,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
