mnis_id,name,party,constituency,adhoc_earnings,adhoc_hours,ongoing_earnings,ongoing_hours,total_earnings,total_hours,summary
152,Sir Iain Duncan Smith,Conservative,Chingford and Woodford Green,12740.0,167.0,0.0,0.0,12740.0,167.0,"£13k from 34 ad hoc payments (Daily Telegraph and Sunday Telegraph, News UK and Ireland and 3 others)."
5182,Charlotte Cane,Liberal Democrat,Ely and East Cambridgeshire,0.0,0.0,12368.11,760.9,12368.11,760.9,£12k from 1 ongoing role (East Cambridgeshire District Council).
4780,Laura Trott,Conservative,Sevenoaks,12000.0,24.0,0.0,0.0,12000.0,24.0,£12k from 2 ad hoc payments (Association of Consulting Actuaries (ACA) and Coex Partners).
4938,Paulette Hamilton,Labour,Birmingham Erdington,4701.4,101.0,6396.71,213.2,11098.11,314.2,£5k from 16 ad hoc payments (ITN Productions and Birmingham and Solihull Mental Health Trust). £6k from 1 ongoing role (Birmingham and Solihull Mental Health Trust).
5229,Joe Powell,Labour,Kensington and Bayswater,11054.89,32.0,0.0,0.0,11054.89,32.0,£11k from 1 ad hoc payment (Open Government Partnership).
5170,John Grady,Labour,Glasgow East,9761.0,2.0,0.0,0.0,9761.0,2.0,£10k from 2 ad hoc payments (Shepherd and Wedderburn LLP).
5330,Mr Peter Bedford,Conservative,Mid Leicestershire,0.0,0.0,9525.88,189.2,9525.88,189.2,£10k from 1 ongoing role (Leicestershire County Council).
5335,Jess Brown-Fuller,Liberal Democrat,Chichester,616.0,15.0,8870.11,426.4,9486.11,441.4,£616 from 1 ad hoc payment (Chichester District Council). £9k from 1 ongoing role (Chichester District Council).
5047,James Naish,Labour,Rushcliffe,0.0,0.0,9300.08,421.1,9300.08,421.1,£9k from 3 ongoing roles (Open Door Property Holidays Ltd and Open Door Property Ltd).
5232,Lorraine Beavers,Labour,Blackpool North and Fleetwood,0.0,0.0,8681.0,230.0,8681.0,230.0,£9k from 2 ongoing roles (Lancashire County Council and Wyre Council).
5324,Sarah Russell,Labour,Congleton,8330.0,41.8,0.0,0.0,8330.0,41.8,£8k from 2 ad hoc payments (Rebel Law Ltd and Fox Whitfield).
