mnis_id,member,employer,role,nature_of_business,address,row_type,date_display,earnings,hours,rate_display
1442,Mr Alistair Carmichael,Dods Group Ltd,Member of the Advisory Board of the House Magazine,,"11th Floor, The Shard, 32 London Bridge St, London SE1 9SG",adhoc,30 Jan 2024,1650.0,11.0,
1446,Chris Bryant,United Agents,Writing and adapting a book,,"12-26 Lexington Street, London W1F 0LE",adhoc,25 Apr 2024,1500.0,4.0,
1446,Chris Bryant,United Agents,Writing and adapting a book,,"12-26 Lexington Street, London W1F 0LE",adhoc,25 Mar 2024,2871.17,0.0,
1446,Chris Bryant,United Agents,Writing and adapting a book,,"12-26 Lexington Street, London W1F 0LE",adhoc,13 Mar 2024,50000.0,10.0,
1446,Chris Bryant,United Agents,Writing and adapting a book,,"12-26 Lexington Street, London W1F 0LE",adhoc,1 Mar 2024,10000.0,0.0,
1446,Chris Bryant,United Agents,Writing and adapting a book,,"12-26 Lexington Street, London W1F 0LE",adhoc,19 Jan 2024,1000.0,12.0,
1446,Chris Bryant,United Agents,Writing and adapting a book,,"12-26 Lexington Street, London W1F 0LE",adhoc,9 Nov 2023,8000.0,0.0,
1466,Dr Andrew Murrison,Royal Naval Reserve,Surgeon Commander,,"HMS President, St Katherine’s Dock, London",adhoc,28 Mar 2024,743.81,18.0,
1466,Dr Andrew Murrison,Royal Naval Reserve,Surgeon Commander,,"HMS President, St Katherine’s Dock, London",adhoc,29 Feb 2024,146.76,4.0,
1466,Dr Andrew Murrison,Royal Naval Reserve,Surgeon Commander,,"HMS President, St Katherine’s Dock, London",adhoc,31 Jan 2024,1859.55,50.0,
1466,Dr Andrew Murrison,Royal Naval Reserve,Surgeon Commander,,"HMS President, St Katherine’s Dock, London",adhoc,31 Dec 2023,966.97,28.0,
1489,Dawn Butler,Multicultural Marketing Consultancy,Appearing on a podcast,,"311 Regents Park Road, London N3  1DP",adhoc,11 Jan 2024,1000.0,4.0,
1489,Dawn Butler,Eden & Partners Ltd,Delivering a development programme session,,"50 Broadway, London SW1H 0RG",adhoc,29 Nov 2023,350.0,4.0,
1489,Dawn Butler,DC Thompson Ltd,Appearing on a panel,,"Meadowside, 2 Albert Square, Dundee DD1 1DD",adhoc,11 Nov 2023,500.0,5.0,
1502,Mr David Jones,Associated Newspapers Ltd,Writing an article,,"Northcliffe House, 2 Derry Street, London W8 5TT",adhoc,25 Jan 2024,1000.0,3.0,
1508,Sir Geoffrey Cox,Bortoft Bell Solicitors,Legal services,,"2 John Street, London WC1N 2ES",adhoc,30 Apr 2024,10000.0,10.0,
