mnis_id,employer,role,nature_of_business,address,row_type,date_display,earnings,hours,rate_display,sort_date
5134,Venture Xtreme Consultancy Limited,Director and CEO of consultancy company,,,ongoing_child,17 Jul 2024 – ongoing,6656.92,0.0,"£3,960/yearly (Use of company vehicle. (Since leaving the company employ...)",2024-07-17
5136,Sandwell Metropolitan Borough Council,Interim Head of Leader's Office,,"Sandwell Council House, Freeth St, Oldbury B69 3DE",adhoc,27 Aug 2024,6800.0,0.0,,2024-08-27
5138,Devon County Council,Devon County Councillor,County Council,"Devon County Council, Topsham Road County Hall, Exeter EX2 4QD",adhoc,25 Aug 2024,1256.0,40.0,,2024-08-25
5138,North Devon District Council,District Councillor,,"North Devon District Council, PO Box 379, Barnstaple EX32 2GR",adhoc,23 Aug 2024,496.0,20.0,,2024-08-23
5138,Royal Devon University Healthcare NHS Foundation Trust,Head of Charity Fundraising,NHS Trust,"Wonford, Barrack Road, Exeter EX2 5DW",adhoc,26 Jul 2024,1577.02,45.0,,2024-07-26
5138,Devon County Council,Devon County Councillor,County Council,"Devon County Council, Topsham Road County Hall, Exeter EX2 4QD",ongoing,17 Jul 2024 – 1 May 2025,11884.29,378.5,"£1,256/monthly · 40h/monthly",2024-07-17
5138,North Devon District Council,District Councillor,,"North Devon District Council, PO Box 379, Barnstaple EX32 2GR",ongoing,17 Jul 2024 – 11 Jun 2025,9740.56,216.2,£901/monthly · 20h/monthly (this payment includes a SRA for being Leader (going forwa...),2024-07-17
5138,Devon and Somerset Fire & Rescue Authority,Member of Devon and Somerset Fire Authority,,"Service HQ, The Knowle, Clyst St George, Exeter EX3 0NW",ongoing,30 Jun 2023 – 3 Feb 2025,4344.7,86.1,£658/monthly · 3h/weekly (I receive and SRA for being the Chair of the Audit Commit...),2023-06-30
5139,Milton Keynes City Council,Unitary  Councillor,,1 Saxon Gate MK9 3EJ,ongoing,17 Jul 2024 – ongoing,20675.38,1314.7,"£1,025/monthly · 15h/weekly",2024-07-17
5145,NHS Ayrshire and Arran,Programme Manager,,"University Hospital Crosshouse, Kilmarnock KA2 0BE",adhoc,31 Aug 2024,755.76,0.0,,2024-08-31
5146,Nottinghamshire & City of Nottingham Fire Authority,Chair & Member of the Authority,,"Nottinghamshire Fire and Rescue Service Joint Headquarters, Sherwood Lodge, Arnold, Nottingham NG5 8PP",adhoc,27 Jan 2025,445.54,25.0,,2025-01-27
5146,Nottinghamshire County Council,County Councillor,,"County Hall, Loughborough Road, West Bridgford, Nottinghamshire NG2 7PQ",adhoc,27 Nov 2024,165.29,25.0,,2024-11-27
5146,Nottinghamshire County Council,County Councillor,,"County Hall, Loughborough Road, West Bridgford, Nottinghamshire NG2 7PQ",adhoc,25 Oct 2024,337.52,15.0,,2024-10-25
5146,Gedling Borough Council,Borough Councillor & Deputy Leader of the Council (Deputy Leader up to 14 October 2024),,"Civic Centre, Arnot Hill Park, Arnold, Nottingham NG5 6LU",adhoc,25 Oct 2024,335.76,20.0,,2024-10-25
5146,Nottinghamshire & City of Nottingham Fire Authority,Chair & Member of the Authority,,"Nottinghamshire Fire and Rescue Service Joint Headquarters, Sherwood Lodge, Arnold, Nottingham NG5 8PP",adhoc,25 Oct 2024,1705.06,55.0,,2024-10-25
5146,Nottinghamshire County Council,County Councillor,,"County Hall, Loughborough Road, West Bridgford, Nottinghamshire NG2 7PQ",ongoing,17 Jul 2024 – 27 Sep 2024,3254.93,154.2,"£16,512/yearly · 15h/weekly (total annual allowance for my role as a County Councillor...)",2024-07-17
